FVL,FVI,FVR,AVL,AVR,RVL,RVI,RVR,directory
545,2409,439,5,220,453,8,19,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_046.xlsx
1107,0,14,8,0,112,605,18,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_049.xlsx
2356,1985,2358,14,75,131,134,1090,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_067.xlsx
1577,1856,1419,1,335,161,1143,2249,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_073.xlsx
1430,1593,1761,59,203,0,389,2409,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_078.xlsx
1606,1547,1195,500,14,993,362,1090,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_082.xlsx
1059,2021,2197,792,447,2015,2409,2409,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_085.xlsx
2080,2314,1603,551,395,2095,471,1636,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_086.xlsx
1459,1889,2211,257,68,1861,201,801,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_087.xlsx
1498,2326,2409,698,59,2369,1987,1799,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_088.xlsx
1249,1898,1615,44,41,861,1242,1405,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_089.xlsx
879,1434,1595,170,37,530,890,1270,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_090.xlsx
859,1566,1494,280,34,1861,1607,468,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_091.xlsx
1862,1626,541,174,0,1780,2394,0,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_092.xlsx
1380,1058,1673,59,54,474,435,1335,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_096.xlsx
1587,1996,972,557,39,1960,1261,1903,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_097.xlsx
2088,2164,1128,245,0,1953,447,673,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_098.xlsx
1577,2257,1093,564,238,1068,1399,1458,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_099.xlsx
1759,1402,1298,847,38,1553,1341,796,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_100.xlsx
1210,2143,1938,577,471,1632,755,2232,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_101.xlsx
1898,101,1672,168,154,1177,1881,1306,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_102.xlsx
1882,2346,1130,561,108,2149,2409,325,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_103.xlsx
